modelName,prediction,kFoldIndex,r2,MeanAveErr,RootMeanSqErr
adaboost,DiffMeanHourlyPercent,1,0.2145890746819916,9.333158125813462,13.155199145618761
adaboost,DiffMedianHourlyPercent,1,0.3999011222187985,8.709849596254132,12.163366140975421
decision_tree,DiffMeanHourlyPercent,1,0.27519160167652307,6.568376237853553,12.489091848175681
decision_tree,DiffMedianHourlyPercent,1,0.4797416355529716,6.934937282387042,11.316190733316326
extra_trees,DiffMeanHourlyPercent,1,0.6099870508547041,5.299587953256512,9.319233976735338
extra_trees,DiffMedianHourlyPercent,1,0.6798976682316754,5.46154580153042,8.886005608723778
extra_trees2,DiffMeanHourlyPercent,1,0.6142510581226311,5.3910586716025355,9.266544220293332
extra_trees2,DiffMedianHourlyPercent,1,0.6760048956238994,5.548540277287138,8.939511861450649
gradboost,DiffMeanHourlyPercent,1,0.5682809898984084,5.786926112054463,9.800729864349474
gradboost,DiffMedianHourlyPercent,1,0.6302045686476813,6.064952491608512,9.550777516814872
linear_reg,DiffMeanHourlyPercent,1,0.5134121741226524,6.307337936015266,10.408302710732736
linear_reg,DiffMedianHourlyPercent,1,0.6004961680334403,6.546911408198845,9.92691032272113
random_forest,DiffMeanHourlyPercent,1,0.5959283780318182,5.547260316948949,9.482191962605219
random_forest,DiffMedianHourlyPercent,1,0.6573166501675596,5.718446712318491,9.193988856612632
svm,DiffMeanHourlyPercent,1,0.5261950521988458,6.003239086967042,10.272635916266767
svm,DiffMedianHourlyPercent,1,0.5811802283319913,6.310953718664707,10.164327337671397
xgboost,DiffMeanHourlyPercent,1,0.6173819539752398,5.2493316737295554,9.223674271686706
xgboost,DiffMedianHourlyPercent,1,0.680973669875499,5.4099622551950795,8.871079811056267
